TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
LEBLDDI,9/30/2019,LEBLTMA,LEDDI30A,LEBLDDI,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,9/30/2019,LEBLTMA,LEBLA30,LEBL,LEBL,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,9/30/2019,LEBLTMA,LEBLA30N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBMNI,9/30/2019,LECBFMPE,LEMNI30,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCVN,9/30/2019,LECBFMPE,LECVN30N,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBG1EV,9/30/2019,LECBFMPW,LEG1EV30,LECBGO1,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,9/30/2019,LECBFMPW,LELVU30,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLVU,9/30/2019,LECBFMPW,LELVU30A,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBPPI,9/30/2019,LECBFMPW,LEPPI30N,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLLI,9/30/2019,LECBFMPW,LELLI30N,LECBLLI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,9/30/2019,LECMFMP,LEMDA30,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,9/30/2019,LECMFMP,LEMDA30A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTZI,9/30/2019,LECMFMP,TZI30,LECMTZI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LECMBLI,9/30/2019,LECMFMP,BLI30,LECMBLI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LECMBLI,9/30/2019,LECMFMP,BLI30A,LECMBLI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LECMTZI,9/30/2019,LECMFMP,TZI30N,LECMTZI,LECM,integrado,Airspace,ERD,S - ATC Staffing
GCCCINB,10/1/2019,GCCCFMP,GCINB01,GCCCINB,GCCC,elemental,Airspace,ERD,W - Weather
LECBMNI,10/1/2019,LECBFMPE,LEMNI01,LECBMNI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBCCC,10/1/2019,LECBFMPE,LECCC01,LECBCCC,LECB,integrado,Airspace,ERD,C - ATC Capacity
