TV Id,Regulation Start Date,TVS Id,Regulation Id,Protected Location Id,Protected Location (4),Elemental-Integrado,Protected Location Type,ERD-ARR,Regulation Reason Name
LEBLARR,1/1/2019,LEBLTMA,LEBLA01N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL12XN,1/1/2019,LEBLTMA,LE12XN01,LEBL12XN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,1/2/2019,LEBLTMA,LEBLA02,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL34DN,1/2/2019,LEBLTMA,LEBLD02,LEBL34DN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBL12XN,1/2/2019,LEBLTMA,LE12XN02,LEBL12XN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECBCVN,1/2/2019,LECBFMPE,LECVN02M,LECBCVN,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLVU,1/2/2019,LECBFMPW,LELVU02M,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBPPI,1/2/2019,LECBFMPW,LEPPI02,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
FL2DGU,1/2/2019,LECMFMP,FL2DGU02,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/2/2019,LECMFMP,LEMDA02,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECGTMA,1/2/2019,LECMFMP,LECGT02,LECGTA,LECG,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/3/2019,LEBLTMA,LEBLA03N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBL134W,1/3/2019,LEBLTMA,LE134W03,LEBL134W,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBL34DN,1/3/2019,LEBLTMA,LE34DN03,LEBL34DN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
L1234DXN,1/3/2019,LEBLTMA,L1234D03,LEBL1T4DXN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECBVVI,1/3/2019,LECBFMPE,LEVVI03,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBVVI,1/3/2019,LECBFMPE,LEVVI03A,LECBVVI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECBLGU,1/3/2019,LECBFMPW,LELGU03,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/3/2019,LECMFMP,LEMDA03,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZMUX,1/3/2019,LECMFMP,ZMUX03A,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR1BLI,1/3/2019,LECMFMP,RR1BLI03,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL5DGU,1/3/2019,LECMFMP,FL5DGU03,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/4/2019,LEBLTMA,LEBLA04,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECLTMN,1/4/2019,LECLTAC,LETMN04,LECLTMN,LECL,integrado,Airspace,ERD,C - ATC Capacity
FL3TLU,1/4/2019,LECMFMP,FL3TLU04,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,1/4/2019,LECMFMP,TLU04,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2ZMU34,1/4/2019,LECMFMP,FL2ZMU04,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/4/2019,LECMFMP,LEMDA04,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL5PAU,1/4/2019,LECMFMP,FL5PAU04,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
GCCCRNE,1/5/2019,GCCCFMP,GCRNE05,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCLPA,1/5/2019,GCCCFMP,GCCLA05,GCCCIGC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LECLTMN,1/5/2019,LECLTAC,LETMN05A,LECLTMN,LECL,integrado,Airspace,ERD,C - ATC Capacity
FL1DGU,1/5/2019,LECMFMP,FL1DGU05,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL5DGU,1/5/2019,LECMFMP,FL5DGU05,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAU,1/5/2019,LECMFMP,SAU05,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZGZ,1/5/2019,LECMFMP,ZGZ05,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,1/5/2019,LECMFMP,TLU05A,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGU,1/5/2019,LECMFMP,DGU05A,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECSSEV,1/5/2019,LECSFMP,LESEV05,LECSSEV,LECS,integrado,Airspace,ERD,C - ATC Capacity
LECBLVU,1/6/2019,LECBFMPW,LELVU06,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECMASU,1/6/2019,LECMFMP,LECMS06,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASU,1/6/2019,LECMFMP,ASU06E,LECMASU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL5DGU,1/6/2019,LECMFMP,FL5DGU06,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL1ZMU34,1/6/2019,LECMFMP,FL1ZM306,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/6/2019,LECMFMP,LEMDA06,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,1/6/2019,LECMFMP,BLI06A,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL5PAU,1/6/2019,LECMFMP,FL5PA06A,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/7/2019,LEBLTMA,LEBLA07L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,1/7/2019,LECMFMP,LEMDA07,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/7/2019,LECMFMP,LEMDA07A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECBLGU,1/8/2019,LECBFMPW,LELGU08A,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/8/2019,LECMFMP,LEMDA08,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL4TLU,1/8/2019,LECMFMP,FL4TLU08,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,1/8/2019,LECMFMP,SAN08A,LECMSAN,LECM,elemental,Airspace,ERD,S - ATC Staffing
LECMSAN,1/8/2019,LECMFMP,SAN08L,LECMSAN,LECM,elemental,Airspace,ERD,S - ATC Staffing
LEMDARR,1/9/2019,LECMFMP,LEMDA09,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,1/10/2019,LEBLTMA,LEBLA10L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBLGU,1/10/2019,LECBFMPW,LELGU10,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/11/2019,LEBLTMA,LEBLA11,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
L1234DXN,1/11/2019,LEBLTMA,LEBLT11,LEBL1T4DXN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
GCCCRNE,1/12/2019,GCCCFMP,GCRNE12,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCACARR,1/12/2019,GCCCFMP,GCACA12A,GCRR/FV,GCRR,elemental,Zone of Aerodromes,ARR,C - ATC Capacity
LECLTMN,1/12/2019,LECLTAC,LETMN12A,LECLTMN,LECL,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,1/12/2019,LECMFMP,LEMDA12M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL5DGU,1/12/2019,LECMFMP,FL5DGU12,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,1/12/2019,LECMFMP,TLU12,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
RR2NO1,1/12/2019,LECSFMP,RR2NO112,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
RR3NO1,1/12/2019,LECSFMP,RR3NO112,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
RR3SAM,1/13/2019,GCCCFMP,RR3SAM13,GCCCRCW,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCINB,1/13/2019,GCCCFMP,GCINB13A,GCCCINB,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/13/2019,LEBLTMA,LEBLA13L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
FL2ZMU34,1/13/2019,LECMFMP,FL2ZM13E,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMPAU,1/13/2019,LECMFMP,PAU13E,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZMU,1/13/2019,LECMFMP,ZMU13E,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL1DGU,1/13/2019,LECMFMP,FL1DGU13,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL1SAU,1/13/2019,LECMFMP,FL1SA13L,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/14/2019,LEBLTMA,LEBLA14L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,1/14/2019,LECMFMP,LEMDA14,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/15/2019,LECMFMP,LEMDA15M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/16/2019,LECMFMP,LEMDA16,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTZI,1/16/2019,LECMFMP,TZI16,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
GCLPARR,1/17/2019,GCCCFMP,GCLPA17A,GCLP,GCLP,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEBLARR,1/17/2019,LEBLTMA,LEBLA17N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
FL4LVU,1/17/2019,LECBFMPW,FL4LVU17,LECBLVU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/17/2019,LECMFMP,LEMDA17,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,1/18/2019,LEBLTMA,LEBLA18,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECMCJI,1/18/2019,LECMFMP,CJI18A,LECMCJI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LECMTZI,1/18/2019,LECMFMP,TZI18,LECMTZI,LECM,integrado,Airspace,ERD,S - ATC Staffing
GCCCRNE,1/19/2019,GCCCFMP,GCRNE19A,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCINB,1/19/2019,GCCCFMP,GCINB19A,GCCCINB,GCCC,elemental,Airspace,ERD,S - ATC Staffing
RR4AST,1/19/2019,LECMFMP,RR4AST19,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
FL1TLU,1/20/2019,LECMFMP,FL1TLU20,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMCJI,1/20/2019,LECMFMP,CJI20A,LECMCJI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR2BLI,1/20/2019,LECMFMP,RR2BLI20,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,1/21/2019,LEBLTMA,LEBLA21,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,1/21/2019,LECMFMP,LEMDA21M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/22/2019,LECMFMP,LEMDA22M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
GCCCINB,1/23/2019,GCCCFMP,GCINB23,GCCCINB,GCCC,elemental,Airspace,ERD,S - ATC Staffing
FL3LGU,1/23/2019,LECBFMPW,FL3LGU23,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LECBLGU,1/23/2019,LECBFMPW,LELGU23,LECBLGU,LECB,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,1/23/2019,LECMFMP,LEMDA23M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/24/2019,LECMFMP,LEMDA24A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,1/25/2019,LEBLTMA,LEBLA25N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
L1234DXN,1/25/2019,LEBLTMA,L1234D25,LEBL1T4DXN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
GCCCLPF,1/26/2019,GCCCFMP,GCLPF26,GCCCIGC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCRNE,1/26/2019,GCCCFMP,GCRNE26,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LECBPPI,1/26/2019,LECBFMPW,LEPPI26,LECBPPI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LECMZMUX,1/26/2019,LECMFMP,ZMUX26,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2ZMU34,1/26/2019,LECMFMP,FL2ZM26L,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL5ZMU34,1/26/2019,LECMFMP,FL5ZM26L,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMGDEP,1/26/2019,LECSFMP,LEMGD26,LEMG,LEMG,elemental,Aerodrome,ARR,W - Weather
LEMGARR,1/26/2019,LECSFMP,LEMGA26,LEMG,LEMG,elemental,Aerodrome,ARR,W - Weather
LEMG,1/26/2019,LECSFMP,LEMGG26,LEMG,LEMG,elemental,Aerodrome,ARR,W - Weather
RR1SAM,1/27/2019,GCCCFMP,RR1SAM27,GCCCRCW,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/27/2019,LEBLTMA,LEBLA27,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
L1234DXW,1/27/2019,LEBLTMA,LEDXW27,LEBL1T4DXW,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECMZGZ,1/27/2019,LECMFMP,ZGZ27A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,1/28/2019,LEBLTMA,LEBLA28,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,1/28/2019,LECMFMP,LEMDA28,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMCJI,1/28/2019,LECMFMP,CJI28A,LECMCJI,LECM,integrado,Airspace,ERD,C - ATC Capacity
RR2BA1,1/28/2019,LECSFMP,RR2BA128,LECSBA1,LECS,elemental,Airspace,ERD,C - ATC Capacity
GCXOARR,1/29/2019,GCCCFMP,GCXOA29A,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
LEMDARR,1/29/2019,LECMFMP,LEMDA29M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
GCXOARR,1/30/2019,GCCCFMP,GCXOA30,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
LEMDARR,1/30/2019,LECMFMP,LEMDA30,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/30/2019,LECMFMP,LEMDA30A,LEMD,LEMD,elemental,Aerodrome,ARR,S - ATC Staffing
LEBLARR,1/31/2019,LEBLTMA,LEBLA31,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,1/31/2019,LECMFMP,LEMDA31M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,1/31/2019,LECMFMP,LEMDA31A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEBLARR,2/1/2019,LEBLTMA,LEBLA01,LEBL,LEBL,elemental,Aerodrome,ARR,W - Weather
LEMDARR,2/1/2019,LECMFMP,LEMDA01M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,2/1/2019,LECMFMP,LEMDA01A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMG,2/1/2019,LECSFMP,LEMGG01E,LEMG,LEMG,elemental,Aerodrome,ARR,T - ATC Equipment
GCCCRNE,2/2/2019,GCCCFMP,GCRNE02A,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCCCAAC,2/2/2019,GCCCFMP,GCAAC02,GCCCAAC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/2/2019,LECMFMP,LEMDA02,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
RR2NO1,2/2/2019,LECSFMP,RR2NO102,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
GCCCRU6,2/3/2019,GCCCFMP,GCRU603N,GCCCRU6,GCCC,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,2/3/2019,LEBLTMA,LEBLA03N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEBLARR,2/4/2019,LEBLTMA,LEBLA04N,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEMDARR,2/4/2019,LECMFMP,LEMDA04M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,2/6/2019,LECMFMP,LEMDA06,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,2/7/2019,LECMFMP,LEMDA07,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZGZ,2/7/2019,LECMFMP,ZGZ07A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,2/8/2019,LEBLTMA,LEBLA08A,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LEB1234W,2/8/2019,LEBLTMA,LEBLTA08,LEBL1234W,LEBL,integrado,Airspace,ERD,V - Environmental Issues
LEMDARR,2/8/2019,LECMFMP,LEMDA08M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
FL4TLU,2/8/2019,LECMFMP,FL4TLU08,LECMTLU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/8/2019,LECMFMP,LEMDA08A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
GCCCRNE,2/9/2019,GCCCFMP,GCRNE09A,GCCCRNE,GCCC,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/9/2019,LECMFMP,LEMDA09M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMSAU,2/9/2019,LECMFMP,SAU09L,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEBLARR,2/10/2019,LEBLTMA,LEBLA10,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
B1234DXW,2/10/2019,LEBLTMA,LEBLT10,LEBL14DXW,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LECMZGZ,2/10/2019,LECMFMP,ZGZ10A,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/10/2019,LECMFMP,LEMDA10,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,2/10/2019,LECMFMP,LEMDA10A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
RR2NO1,2/10/2019,LECSFMP,RR2NO110,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/11/2019,LECMFMP,LEMDA11M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMCJI,2/11/2019,LECMFMP,CJI11,LECMCJI,LECM,integrado,Airspace,ERD,S - ATC Staffing
LEMDARR,2/12/2019,LECMFMP,LEMDA12M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LEMDARR,2/13/2019,LECMFMP,LEMDA13M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
GCRRARR,2/14/2019,GCCCFMP,GCRRA14,GCRR,GCRR,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEB1234W,2/14/2019,LEBLTMA,LEBLTM14,LEBL1234W,LEBL,integrado,Airspace,ERD,S - ATC Staffing
LEBL12XN,2/14/2019,LEBLTMA,LEBL1214,LEBL12XN,LEBL,integrado,Airspace,ERD,S - ATC Staffing
LEBL34DN,2/14/2019,LEBLTMA,LEBL3414,LEBL34DN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
L1234DXN,2/14/2019,LEBLTMA,L1234D14,LEBL1T4DXN,LEBL,integrado,Airspace,ERD,C - ATC Capacity
RR3AST,2/14/2019,LECMFMP,RR3AST14,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/14/2019,LECMFMP,LEMDA14M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMSAN,2/14/2019,LECMFMP,SAN14M,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASI,2/14/2019,LECMFMP,ASI14M,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/14/2019,LECMFMP,LEMDA14A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMZGZ,2/14/2019,LECMFMP,ZGZ14,LECMZGZ,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMASI,2/14/2019,LECMFMP,ASI14,LECMASI,LECM,integrado,Airspace,ERD,C - ATC Capacity
GCXOARR,2/15/2019,GCCCFMP,GCXOA15,GCXO,GCXO,elemental,Aerodrome,ARR,W - Weather
RR1SAM,2/15/2019,GCCCFMP,RR1SAM15,GCCCRCW,GCCC,elemental,Airspace,ERD,C - ATC Capacity
GCRRARR,2/15/2019,GCCCFMP,GCRRA15,GCRR,GCRR,elemental,Aerodrome,ARR,W - Weather
LEBLARR,2/15/2019,LEBLTMA,LEBLA15,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECBGOI,2/15/2019,LECBFMPW,GOI15M,LECBGOI,LECB,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/15/2019,LECMFMP,LEMDA15M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMSAU,2/15/2019,LECMFMP,SAU15,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/15/2019,LECMFMP,LEMDA15,LEMD,LEMD,elemental,Aerodrome,ARR,G - Aerodrome Capacity
GCCCRNE,2/16/2019,GCCCFMP,GCRNE16A,GCCCRNE,GCCC,elemental,Airspace,ERD,W - Weather
GCCCAAC,2/16/2019,GCCCFMP,GCAAC16,GCCCAAC,GCCC,elemental,Airspace,ERD,C - ATC Capacity
FL5PAU,2/16/2019,LECMFMP,FL5PAU16,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/16/2019,LECMFMP,LEMDA16E,LEMD,LEMD,elemental,Aerodrome,ARR,G - Aerodrome Capacity
FL2PAU,2/16/2019,LECMFMP,FL2PAU16,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL9DGU,2/16/2019,LECMFMP,FL9DG16,LECMDGU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMZMU,2/16/2019,LECMFMP,ZMU16A,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
FL2PAU,2/16/2019,LECMFMP,FL2PA16A,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAU,2/16/2019,LECMFMP,SAU16A,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAU,2/16/2019,LECMFMP,SAU16X,LECMSAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMSAN,2/16/2019,LECMFMP,SAN16,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEPAARR,2/16/2019,LECPFMP,LEPAA16,LEPA/SJ,LEPA,elemental,Zone of Aerodromes,ARR,G - Aerodrome Capacity
RR2NO1,2/16/2019,LECSFMP,RR2NO116,LECSNO1,LECS,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,2/17/2019,LEBLTMA,LEBLA17,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
LECMPAU,2/17/2019,LECMFMP,PAU17M,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/17/2019,LECMFMP,LEMDA17,LEMD,LEMD,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LECMPAU,2/17/2019,LECMFMP,PAU17,LECMPAU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LEMDARR,2/17/2019,LECMFMP,LEMDA17A,LEMD,LEMD,elemental,Aerodrome,ARR,G - Aerodrome Capacity
FL5ZMU34,2/17/2019,LECMFMP,FL5ZMU17,LECMZMU,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMDGL,2/17/2019,LECMFMP,DGL17M,LECMDGL,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMBLI,2/17/2019,LECMFMP,BLI17A,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/17/2019,LECMFMP,LEMDA17L,LEMD,LEMD,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEBLDDI1,2/18/2019,LEBLTMA,LEDDI18M,LEBLDDI,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,2/18/2019,LEBLTMA,LEBLA18L,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
RR1BLI,2/18/2019,LECMFMP,RR1BLI18,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LEMDARR,2/18/2019,LECMFMP,LEMDA18M,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMBLI,2/18/2019,LECMFMP,BLI18M,LECMBLI,LECM,integrado,Airspace,ERD,C - ATC Capacity
LECLTMN,2/19/2019,LECLTAC,LECLTM19,LECLTMN,LECL,integrado,Airspace,ERD,P - Special Event
LECMSAN,2/19/2019,LECMFMP,SAN19A,LECMSAN,LECM,elemental,Airspace,ERD,C - ATC Capacity
LECMTLU,2/19/2019,LECMFMP,TLU19,LECMTLU,LECM,elemental,Airspace,ERD,M - Airspace Management
LEMGARR1,2/19/2019,LECSFMP,LEMGA19,LEMG,LEMG,elemental,Aerodrome,ARR,P - Special Event
LEMDARR,2/20/2019,LECMFMP,LEMDA20A,LEMD,LEMD,elemental,Aerodrome,ARR,C - ATC Capacity
LECMTZI,2/20/2019,LECMFMP,TZI20A,LECMTZI,LECM,integrado,Airspace,ERD,C - ATC Capacity
GCRRARR,2/21/2019,GCCCFMP,GCRRA21A,GCRR,GCRR,elemental,Aerodrome,ARR,G - Aerodrome Capacity
LEBL23W1,2/21/2019,LEBLTMA,LE23W121,LEBL23W,LEBL,integrado,Airspace,ERD,S - ATC Staffing
LEBLDDI1,2/21/2019,LEBLTMA,LEDDI21,LEBLDDI,LEBL,integrado,Airspace,ERD,C - ATC Capacity
LEBLARR,2/21/2019,LEBLTMA,LEBLA21,LEBL,LEBL,elemental,Aerodrome,ARR,V - Environmental Issues
